Response ID,Age Group,Gender,Industry,Years of Experience,Current Work Arrangement,Have you ever experienced working from home?,Do you think that working from home increases your work productivity?,Do you think that working from home prevents you from going out?,Do you think that working from home gives you more flexibility?,Do you think that working from home saves you more time?,"Which work type has the potential to cause you physical problems, such as the neck, back, and leg pain?","Which work type has the potential to cause mental disorders, such as stress, anxiety, and depression?",Do you think that working from home prevents you from getting in contact with people?,Which work type keeps you focused while working?,Which work type do you prefer the most?
84,25–34,Female,Technology,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working from home
85,18–24,Non-binary/Other,Retail/Hospitality,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
86,18–24,Female,Healthcare,3–5 years,Fully In-Office,No,No,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
87,35–44,Female,Healthcare,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
88,35–44,Female,Healthcare,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
89,25–34,Female,Retail/Hospitality,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
90,35–44,Male,Education,20+ years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working from home
91,25–34,Male,Healthcare,20+ years,Fully Remote,No,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working from home
92,35–44,Female,Other,20+ years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
93,25–34,Male,Finance,11–20 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working in an office,No,Working in an office,Working from home
94,25–34,Male,Technology,20+ years,Fully Remote,No,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
95,25–34,Female,Other,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
96,35–44,Male,Healthcare,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
97,25–34,Male,Technology,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
98,18–24,Female,Education,6–10 years,Hybrid,Yes,Yes,Yes,No,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
99,18–24,Female,Technology,3–5 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
100,55+,Male,Healthcare,3–5 years,Fully In-Office,Yes,No,No,No,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
101,45–54,Male,Retail/Hospitality,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,A mixed mode of working
102,35–44,Male,Technology,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
103,25–34,Female,Government,20+ years,Hybrid,No,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
104,55+,Female,Other,11–20 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
105,45–54,Male,Finance,11–20 years,Fully In-Office,No,Yes,No,No,No,Working from home,Working from home,Yes,Working in an office,Working in an office
106,35–44,Female,Retail/Hospitality,11–20 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
107,25–34,Male,Retail/Hospitality,3–5 years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
108,25–34,Male,Other,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
109,18–24,Non-binary/Other,Healthcare,3–5 years,Fully In-Office,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
110,45–54,Male,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
111,25–34,Male,Finance,3–5 years,Hybrid,Yes,Yes,No,Yes,Yes,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
112,25–34,Male,Finance,3–5 years,Fully In-Office,Yes,Yes,Yes,No,No,Working in an office,Working from home,Yes,Working in an office,Working from home
113,25–34,Female,Technology,11–20 years,Fully In-Office,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
114,35–44,Female,Finance,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
115,25–34,Non-binary/Other,Technology,6–10 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
116,45–54,Male,Other,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
117,45–54,Male,Healthcare,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
118,35–44,Female,Technology,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
119,25–34,Male,Technology,3–5 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
120,35–44,Female,Healthcare,3–5 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
121,35–44,Female,Healthcare,3–5 years,Fully In-Office,No,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
122,35–44,Male,Technology,3–5 years,Fully In-Office,Yes,No,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working in an office
123,18–24,Female,Healthcare,3–5 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
124,25–34,Male,Technology,6–10 years,Hybrid,No,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
125,18–24,Male,Education,3–5 years,Fully In-Office,No,Yes,Yes,No,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
126,35–44,Female,Education,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,Working from home
127,25–34,Female,Healthcare,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working from home,Working from home
128,25–34,Female,Healthcare,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
129,18–24,Female,Technology,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
130,35–44,Non-binary/Other,Technology,20+ years,Fully In-Office,No,No,No,No,Yes,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
131,25–34,Non-binary/Other,Technology,6–10 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
132,55+,Female,Government,20+ years,Hybrid,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
133,35–44,Male,Other,0–2 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
134,25–34,Female,Other,0–2 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
135,35–44,Non-binary/Other,Finance,11–20 years,Hybrid,No,No,No,Yes,Yes,Working from home,Working in an office,No,Working in an office,A mixed mode of working
136,18–24,Male,Finance,11–20 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working from home
137,55+,Male,Healthcare,11–20 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
138,35–44,Male,Government,0–2 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
139,45–54,Male,Government,11–20 years,Fully In-Office,No,No,No,No,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
140,18–24,Female,Government,6–10 years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
141,35–44,Male,Other,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
142,35–44,Female,Education,3–5 years,Hybrid,Yes,No,Yes,No,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
143,55+,Female,Government,20+ years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
144,35–44,Female,Government,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
145,35–44,Male,Healthcare,11–20 years,Hybrid,Yes,No,No,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
146,25–34,Male,Other,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
147,25–34,Female,Technology,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
148,35–44,Female,Other,11–20 years,Fully In-Office,No,No,No,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
149,25–34,Female,Government,11–20 years,Hybrid,No,Yes,No,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
150,18–24,Female,Technology,3–5 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
151,45–54,Male,Retail/Hospitality,0–2 years,Fully Remote,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
152,45–54,Female,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working in an office
153,25–34,Male,Government,6–10 years,Hybrid,No,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working from home
154,35–44,Male,Government,0–2 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
155,18–24,Female,Finance,3–5 years,Hybrid,No,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
156,35–44,Male,Other,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working from home
157,25–34,Male,Technology,0–2 years,Fully In-Office,No,Yes,Yes,No,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
158,35–44,Male,Healthcare,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
159,35–44,Male,Education,20+ years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
160,45–54,Female,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
161,18–24,Male,Education,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working from home
162,55+,Female,Healthcare,20+ years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,Working in an office
163,25–34,Female,Education,3–5 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working in an office,Working in an office,No,Working in an office,A mixed mode of working
164,18–24,Male,Education,11–20 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
165,35–44,Male,Other,6–10 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
166,25–34,Female,Healthcare,11–20 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
167,45–54,Female,Other,0–2 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
168,45–54,Female,Education,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working from home,A mixed mode of working
169,25–34,Female,Healthcare,0–2 years,Hybrid,No,No,Yes,Yes,Yes,Working from home,Working in an office,No,Working in an office,A mixed mode of working
170,55+,Male,Finance,6–10 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
171,25–34,Male,Education,20+ years,Fully In-Office,Yes,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
172,35–44,Female,Healthcare,11–20 years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working in an office,No,Working in an office,Working in an office
173,25–34,Male,Finance,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
174,55+,Female,Technology,20+ years,Hybrid,No,Yes,No,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
175,25–34,Female,Healthcare,11–20 years,Fully In-Office,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
176,18–24,Female,Finance,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,No,Working from home,Working in an office
177,25–34,Male,Education,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
178,55+,Male,Government,6–10 years,Fully In-Office,No,No,Yes,No,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
179,45–54,Male,Healthcare,0–2 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
180,45–54,Male,Other,6–10 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
181,45–54,Female,Government,20+ years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,A mixed mode of working
182,45–54,Male,Other,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
183,35–44,Male,Government,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
184,25–34,Male,Technology,3–5 years,Hybrid,Yes,Yes,Yes,No,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
185,45–54,Male,Finance,0–2 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
186,35–44,Female,Technology,0–2 years,Fully In-Office,No,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
187,25–34,Male,Government,11–20 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
188,18–24,Non-binary/Other,Finance,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
189,45–54,Male,Healthcare,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
190,25–34,Female,Other,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
191,55+,Male,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
192,25–34,Male,Finance,0–2 years,Fully In-Office,No,No,No,Yes,No,Working in an office,Working from home,No,Working in an office,Working in an office
193,18–24,Female,Retail/Hospitality,6–10 years,Hybrid,No,No,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,A mixed mode of working
